192.168.0.10, 2025-06-18 10:12:03, LOGIN_ATTEMPT, SUCCESS
203.0.113.55, 2025-06-18 10:15:22, LOGIN_ATTEMPT, FAILURE
198.51.100.23, 2025-06-18 10:18:44, LOGIN_ATTEMPT, FAILURE
192.168.0.15, 2025-06-18 10:19:10, FILE_UPLOAD, SUCCESS
203.0.113.55, 2025-06-18 10:20:00, LOGIN_ATTEMPT, FAILURE
10.0.0.5, 2025-06-18 10:21:30, LOGIN_ATTEMPT, SUCCESS
198.51.100.23, 2025-06-18 10:23:50, LOGIN_ATTEMPT, FAILURE
192.168.0.12, 2025-06-18 10:25:03, FILE_DOWNLOAD, SUCCESS
8.8.8.8, 2025-06-18 10:26:14, LOGIN_ATTEMPT, FAILURE
203.0.113.55, 2025-06-18 10:28:44, FILE_UPLOAD, FAILURE
10.0.0.3, 2025-06-18 10:29:17, LOGIN_ATTEMPT, SUCCESS
192.168.0.20, 2025-06-18 10:31:55, FILE_UPLOAD, SUCCESS
198.51.100.23, 2025-06-18 10:32:49, LOGIN_ATTEMPT, FAILURE
8.8.4.4, 2025-06-18 10:34:12, LOGIN_ATTEMPT, FAILURE
192.168.0.18, 2025-06-18 10:35:33, FILE_UPLOAD, SUCCESS
203.0.113.12, 2025-06-18 10:36:29, LOGIN_ATTEMPT, FAILURE
192.168.0.25, 2025-06-18 10:37:15, FILE_DOWNLOAD, SUCCESS
203.0.113.55, 2025-06-18 10:39:03, LOGIN_ATTEMPT, FAILURE
198.51.100.23, 2025-06-18 10:40:48, LOGIN_ATTEMPT, FAILURE
10.0.0.7, 2025-06-18 10:42:21, LOGIN_ATTEMPT, SUCCESS
203.0.113.55, 2025-06-18 10:43:03, FILE_DOWNLOAD, FAILURE
192.168.0.30, 2025-06-18 10:45:05, LOGIN_ATTEMPT, SUCCESS
198.51.100.99, 2025-06-18 10:46:17, LOGIN_ATTEMPT, FAILURE
10.0.0.8, 2025-06-18 10:48:10, LOGIN_ATTEMPT, SUCCESS
192.168.0.14, 2025-06-18 10:49:55, FILE_UPLOAD, SUCCESS
8.8.8.8, 2025-06-18 10:50:44, LOGIN_ATTEMPT, FAILURE
203.0.113.55, 2025-06-18 10:52:00, LOGIN_ATTEMPT, FAILURE
198.51.100.23, 2025-06-18 10:53:18, LOGIN_ATTEMPT, FAILURE
192.168.0.19, 2025-06-18 10:54:22, FILE_DOWNLOAD, SUCCESS
203.0.113.99, 2025-06-18 10:55:47, LOGIN_ATTEMPT, FAILURE
10.0.0.9, 2025-06-18 10:56:31, LOGIN_ATTEMPT, SUCCESS
192.168.0.22, 2025-06-18 10:57:15, FILE_UPLOAD, SUCCESS
203.0.113.55, 2025-06-18 10:58:02, LOGIN_ATTEMPT, FAILURE
198.51.100.23, 2025-06-18 10:59:44, LOGIN_ATTEMPT, FAILURE
203.0.113.55, 2025-06-18 11:00:18, FILE_UPLOAD, FAILURE
10.0.0.10, 2025-06-18 11:02:55, LOGIN_ATTEMPT, SUCCESS
8.8.4.4, 2025-06-18 11:03:33, LOGIN_ATTEMPT, FAILURE
192.168.0.31, 2025-06-18 11:04:11, FILE_DOWNLOAD, SUCCESS
198.51.100.77, 2025-06-18 11:05:27, LOGIN_ATTEMPT, FAILURE
203.0.113.88, 2025-06-18 11:06:03, LOGIN_ATTEMPT, FAILURE
192.168.0.32, 2025-06-18 11:07:19, FILE_UPLOAD, SUCCESS
198.51.100.23, 2025-06-18 11:08:21, LOGIN_ATTEMPT, FAILURE
203.0.113.55, 2025-06-18 11:09:44, LOGIN_ATTEMPT, FAILURE
192.168.0.33, 2025-06-18 11:10:58, FILE_UPLOAD, SUCCESS
10.0.0.2, 2025-06-18 11:11:34, LOGIN_ATTEMPT, SUCCESS
198.51.100.23, 2025-06-18 11:12:03, FILE_UPLOAD, FAILURE
203.0.113.55, 2025-06-18 11:13:25, LOGIN_ATTEMPT, FAILURE
192.168.0.40, 2025-06-18 11:14:09, FILE_DOWNLOAD, SUCCESS
198.51.100.23, 2025-06-18 11:15:33, LOGIN_ATTEMPT, FAILURE
